date,us2yield,sp500,usd_index,us2yield_change,sp500_return,usd_index_change
2022-06-16,3.14,3666.77,120.6714,-0.06000000000000005,-0.032511959134456814,-0.00796528781990824
2022-06-17,3.17,3674.84,121.2369,0.029999999999999805,0.0022008470670371594,0.004686280261934517
2022-06-21,3.21,3764.79,120.6427,0.040000000000000036,0.02447725615264873,-0.004901148082803175
2022-06-22,3.06,3759.89,120.5197,-0.1499999999999999,-0.0013015334188627437,-0.0010195395162740928
2022-06-23,3.01,3795.73,120.7622,-0.050000000000000266,0.009532193760987795,0.0020121191805158034
2022-06-24,3.04,3911.74,120.4853,0.03000000000000025,0.03056329085577736,-0.0022929360346202188
2022-06-27,3.08,3900.11,120.1736,0.040000000000000036,-0.002973101484249896,-0.002587037588817953
2022-06-28,3.1,3821.55,120.62,0.020000000000000018,-0.02014302160708281,0.003714626174134761
2022-06-29,3.06,3818.83,120.9616,-0.040000000000000036,-0.000711753084481459,0.0028320344884762427
2022-06-30,2.92,3785.38,120.9652,-0.14000000000000012,-0.008759227302603145,2.97615110911309e-05
2022-07-01,2.84,3825.33,121.5058,-0.08000000000000007,0.010553762105785847,0.0044690539097194115
2022-07-05,2.82,3831.39,122.6203,-0.020000000000000018,0.0015841770513915776,0.009172401646670325
2022-07-06,2.97,3845.08,123.0073,0.15000000000000036,0.0035731157621645693,0.003156084269896553
2022-07-07,3.03,3902.62,122.7257,0.05999999999999961,0.014964578110208349,-0.0022892950255797295
2022-07-08,3.12,3899.38,122.4662,0.0900000000000003,-0.0008302114989416909,-0.002114471541005747
2022-07-11,3.07,3854.43,123.2974,-0.050000000000000266,-0.011527473598367033,0.00678717882975044
2022-07-12,3.03,3818.8,123.4524,-0.040000000000000036,-0.009243908956706903,0.001257123021247919
2022-07-13,3.13,3801.78,123.2834,0.10000000000000009,-0.004456897454697795,-0.001368948679815074
2022-07-14,3.15,3790.38,124.0622,0.020000000000000018,-0.00299859539478875,0.006317152187561348
2022-07-15,3.13,3863.16,123.4765,-0.020000000000000018,0.019201241036518768,-0.004721018972741131
2022-07-18,3.15,3830.85,122.7727,0.020000000000000018,-0.008363619420370894,-0.005699870015752007
2022-07-19,3.23,3936.69,122.4819,0.08000000000000007,0.027628333137554417,-0.0023686047468207683
2022-07-20,3.25,3959.9,122.5997,0.020000000000000018,0.005895816028186118,0.0009617747601891047
2022-07-21,3.1,3998.95,122.9032,-0.1499999999999999,0.009861360135356989,0.0024755362370381118
2022-07-22,2.98,3961.63,122.451,-0.1200000000000001,-0.009332449768064022,-0.0036793183578621713
2022-07-25,3.0,3966.84,122.4594,0.020000000000000018,0.0013151152429682345,6.859886811882987e-05
2022-07-26,3.02,3921.05,122.7581,0.020000000000000018,-0.011543193070554847,0.0024391757594761643
2022-07-27,2.96,4023.61,122.8169,-0.06000000000000005,0.026156259165274642,0.00047899079571944725
2022-07-28,2.85,4072.43,122.1161,-0.10999999999999988,0.012133382708562568,-0.0057060551113079505
2022-07-29,2.89,4130.29,121.7678,0.040000000000000036,0.014207733466259809,-0.002852203763467842
2022-08-01,2.9,4118.63,121.4109,0.009999999999999787,-0.0028230463236237346,-0.0029309883236783296
2022-08-02,3.06,4091.19,121.9486,0.16000000000000014,-0.006662409587654183,0.004428762162211219
2022-08-03,3.1,4155.17,122.3888,0.040000000000000036,0.015638481713144525,0.0036097175367326706
2022-08-04,3.03,4151.94,121.8333,-0.07000000000000028,-0.0007773448499099889,-0.004538814009125147
2022-08-05,3.24,4145.19,122.321,0.2100000000000004,-0.0016257460367924415,0.004003010671138396
2022-08-08,3.21,4140.06,121.8783,-0.03000000000000025,-0.0012375789770792123,-0.0036191659649610353
2022-08-09,3.28,4122.47,121.8614,0.06999999999999984,-0.004248730694724312,-0.00013866291210162807
2022-08-10,3.23,4210.24,120.7543,-0.04999999999999982,0.021290634013103604,-0.009084911218810943
2022-08-11,3.23,4207.27,120.7163,0.0,-0.0007054229687617486,-0.00031468858665895105
2022-08-12,3.25,4280.15,121.018,0.020000000000000018,0.01732239670855429,0.0024992482373962233
2022-08-15,3.2,4297.14,121.4315,-0.04999999999999982,0.00396948705068767,0.0034168470805995277
2022-08-16,3.25,4305.2,121.6807,0.04999999999999982,0.0018756661407353103,0.002052185800224926
2022-08-17,3.28,4274.04,122.0711,0.029999999999999805,-0.0072377589891293725,0.003208397058859891
2022-08-18,3.22,4283.74,122.3627,-0.05999999999999961,0.0022695154935377104,0.002388771789555433
2022-08-19,3.25,4228.48,123.0501,0.029999999999999805,-0.012899942573545653,0.0056177250093369935
